1CKK, value,-12641.64
, bound,-12903.5
, memory, 0.14 GB
, runtime,37.21
1CM1, value,-12255.01
, bound,-12490.46
, memory, 0.14 GB
, runtime,30.42
1SY9, value,-8946.14
, bound,-9210.22
, memory, 0.16 GB
, runtime,40.84
2BBN, value,-12066.97
, bound,-12426.36
, memory, 0.25 GB
, runtime,59.67
2BCX, value,-13480.13
, bound,-14112.45
, memory, 0.22 GB
, runtime,50.92
2BE6, value,-11432.59
, bound,-13430.55
, memory, 0.11 GB
, runtime,24.46
2F3Y, value,-13938.45
, bound,-14653.47
, memory, 0.15 GB
, runtime,34.94
2FOT, value,-11842.46
, bound,-12079.68
, memory, 0.15 GB
, runtime,39.7
2HQW, value,-13369.6
, bound,-13589.93
, memory, 0.14 GB
, runtime,32.96
2O60, value,-13344.91
, bound,-13584.5
, memory, 0.19 GB
, runtime,45.22
3BXL, value,-13896.35
, bound,-14136.64
, memory, 0.17 GB
, runtime,38.39
pdb1b25, value,3951.31
, bound,3907.4
, memory, 0.10 GB
, runtime,14.31
pdb1d2e, value,1786.77
, bound,1734.15
, memory, 0.05 GB
, runtime,6.14
pdb1fmj, value,985.43
, bound,965.65
, memory, 0.03 GB
, runtime,1.93
pdb1i24, value,439.39
, bound,439.39
, memory, 0.02 GB
, runtime,0.11
pdb1iqc, value,1221.52
, bound,1209.81
, memory, 0.04 GB
, runtime,1.1
pdb1jmx, value,1162.34
, bound,1144.3
, memory, 0.03 GB
, runtime,1.1
pdb1kgn, value,1738.74
, bound,1717.86
, memory, 0.04 GB
, runtime,2.39
pdb1kwh, value,735.38
, bound,696.49
, memory, 0.02 GB
, runtime,1.49
pdb1m3y, value,2478.16
, bound,2421.75
, memory, 0.04 GB
, runtime,2.11
pdb1qks, value,1513.73
, bound,1512.05
, memory, 0.03 GB
, runtime,0.36
